District,Year,Kharif_Area,Kharif_Production,Kharif_Yield,Rabi_Area,Rabi_Production,Rabi_Yield
Jagitial,2019 - 2020,92491,412140,4.46,102546,391623,3.82
Jagitial,2020 - 2021,114178,361696,3.17,120376,517256,4.3
Jagitial,2021 - 2022,118515,418121,3.53,74742,285664,3.82
Jagitial,2022 - 2023,122197,441253,3.61,120927,437272,3.62
Jangoan,2016 - 2017,20004,68734,3.44,34336,123884,3.61
Jangoan,2017 - 2018,26245,65901,2.51,25116,88634,3.53
Jangoan,2018 - 2019,22506,69814,3.1,18949,53038,2.8
Jangoan,2019 - 2020,30645,97972,3.2,46799,165949,3.55
Jangoan,2020 - 2021,60403,168957,2.8,64690,245369,3.79
Jangoan,2021 - 2022,77381,248238,3.21,57057,181898,3.19
Jangoan,2022 - 2023,86366,250720,2.9,78000,168558,2.16
Jayashankar,2016 - 2017,62937,213267,3.39,24331,88395,3.63
Jayashankar,2017 - 2018,59970,148281,2.47,24906,87096,3.5
Jayashankar,2018 - 2019,27081,98737,3.65,11331,37664,3.32
Jayashankar,2019 - 2020,33296,106814,3.21,25912,93024,3.59
Jayashankar,2020 - 2021,40704,110448,2.71,32288,123502,3.83
Jayashankar,2021 - 2022,43300,127259,2.94,19781,57128,2.89
Jayashankar,2022 - 2023,44401,144436,3.25,34104,105484,3.09
Jogulamba,2016 - 2017,15493,39019,2.52,6546,17393,2.66
Jogulamba,2017 - 2018,17677,40241,2.28,8373,21301,2.54
Jogulamba,2018 - 2019,21127,54233,2.57,6277,17645,2.81
Jogulamba,2019 - 2020,27604,87891,3.18,17810,56458,3.17
Jogulamba,2020 - 2021,32754,93483,2.85,23551,73503,3.12
Jogulamba,2021 - 2022,38920,98893,2.54,13904,41642,2.99
Jogulamba,2022 - 2023,35692,121353,3.4,28257,89716,3.18
Kamareddy,2016 - 2017,35357,139448,3.94,44593,172486,3.87
Kamareddy,2017 - 2018,54599,165648,3.03,39332,149540,3.8
Kamareddy,2018 - 2019,54663,232427,4.25,23451,88082,3.76
Kamareddy,2019 - 2020,84732,382141,4.51,74463,309096,4.15
Kamareddy,2020 - 2021,100303,330633,3.3,99340,430341,4.33
Kamareddy,2021 - 2022,113744,432227,3.8,62328,269444,4.32
Kamareddy,2022 - 2023,122025,523487,4.29,104991,372613,3.55
Karimnagar,1997 - 1998,103000,287900,2.8,67600,185800,2.75
Karimnagar,1998 - 1999,135000,413100,3.06,123300,423400,3.43
Karimnagar,1999 - 2000,140930,435474,3.09,91605,288647,3.15
Karimnagar,2000 - 2001,162729,508854,3.13,108608,376544,3.47
Karimnagar,2001 - 2002,141154,429108,3.04,103207,332223,3.22
Karimnagar,2002 - 2003,133365,345015,2.59,48545,152965,3.15
Karimnagar,2003 - 2004,122858,395726,3.22,64718,206321,3.19
Karimnagar,2004 - 2005,65453,147989,2.26,18182,50382,2.77
Karimnagar,2005 - 2006,146979,501639,3.41,119417,410675,3.44
Karimnagar,2006 - 2007,166750,521094,3.13,166759,548470,3.29
Karimnagar,2007 - 2008,130000,441000,3.39,152000,545000,3.59
Karimnagar,2008 - 2009,160406,543135,3.39,175551,632861,3.6
Karimnagar,2009 - 2010,84886,274182,3.23,77439,239209,3.09
Karimnagar,2010 - 2011,159548,523465,3.28,221971,828396,3.73
Karimnagar,2011 - 2012,185727,601858,3.24,157649,518192,3.29
Karimnagar,2012 - 2013,178000,626000,3.52,111000,401000,3.61
Karimnagar,2013 - 2014,209454,732042,3.5,208458,768793,3.69
Karimnagar,2014 - 2015,179282,632136,3.53,99151,358827,3.62
Karimnagar,2015 - 2016,116345,381263,3.28,54053,172699,3.19
Karimnagar,2016 - 2017,33075,125321,3.79,61906,262172,4.24
Karimnagar,2017 - 2018,46710,135833,2.91,55178,232575,4.21
Karimnagar,2018 - 2019,54612,207034,3.79,48707,179437,3.68
Karimnagar,2019 - 2020,79406,267201,3.36,89721,350809,3.91
Karimnagar,2020 - 2021,102368,308096,3.01,107052,463214,4.33
Karimnagar,2021 - 2022,110458,344739,3.12,85972,321879,3.74
Karimnagar,2022 - 2023,110266,359357,3.26,109804,346432,3.16
Khammam,1997 - 1998,121100,251900,2.08,8600,16900,1.97
Khammam,1998 - 1999,160700,439400,2.73,24900,68900,2.77
Khammam,1999 - 2000,166514,373491,2.24,11001,26523,2.41
Khammam,2000 - 2001,172538,470856,2.73,10773,33439,3.1
Khammam,2001 - 2002,98756,254988,2.58,39506,137639,3.48
Khammam,2002 - 2003,98920,169054,1.71,4974,12037,2.42
Khammam,2003 - 2004,130159,377591,2.9,11949,34891,2.92
Khammam,2004 - 2005,136374,387848,2.84,26222,86244,3.29
Khammam,2005 - 2006,159480,410342,2.57,40611,120615,2.97
Khammam,2006 - 2007,155691,383000,2.46,22510,65121,2.89
Khammam,2007 - 2008,146000,450000,3.08,30000,98000,3.27
Khammam,2008 - 2009,158279,477686,3.02,36520,117923,3.23
Khammam,2009 - 2010,48475,109408,2.26,54625,197087,3.61
Khammam,2010 - 2011,167037,522924,3.13,51215,181147,3.54
Khammam,2011 - 2012,150051,366113,2.44,15263,45575,2.99
Khammam,2012 - 2013,136000,421000,3.1,18000,52000,2.89
Khammam,2013 - 2014,148142,432575,2.92,43642,142709,3.27
Khammam,2014 - 2015,110439,328435,2.97,35269,127744,3.62
Khammam,2015 - 2016,109579,337054,3.08,12143,32288,2.66
Khammam,2016 - 2017,37999,135788,3.57,30735,124661,4.06
Khammam,2017 - 2018,56206,153450,2.73,51130,192913,3.77
Khammam,2018 - 2019,82437,295619,3.59,31843,99255,3.12
Khammam,2019 - 2020,92196,335225,3.64,82093,318849,3.88
Khammam,2020 - 2021,113361,345938,3.05,91222,329585,3.61
Khammam,2021 - 2022,119611,347590,2.91,37168,113177,3.05
Khammam,2022 - 2023,117343,411639,3.51,86958,299309,3.44
Komaram bheem asifabad,2016 - 2017,11980,32619,2.72,2836,7297,2.57
Komaram bheem asifabad,2017 - 2018,7311,13071,1.79,2263,6158,2.72
Komaram bheem asifabad,2018 - 2019,11774,24619,2.09,2737,6424,2.35
Komaram bheem asifabad,2019 - 2020,24201,67787,2.8,5026,15063,3
Komaram bheem asifabad,2020 - 2021,22336,61431,2.75,6624,23939,3.61
Komaram bheem asifabad,2021 - 2022,21936,53963,2.46,2198,6049,2.75
Komaram bheem asifabad,2022 - 2023,23794,66528,2.8,7313,21515,2.94
Mahabubabad,2016 - 2017,29989,102569,3.42,17792,56952,3.2
Mahabubabad,2017 - 2018,36342,85729,2.36,16660,54895,3.3
Mahabubabad,2018 - 2019,39461,123355,3.13,14264,49853,3.5
Mahabubabad,2019 - 2020,46834,157409,3.36,46056,155301,3.37
Mahabubabad,2020 - 2021,63742,175312,2.75,64077,227858,3.56
Mahabubabad,2021 - 2022,86666,243531,2.81,36124,113610,3.15
Mahabubabad,2022 - 2023,85844,289981,3.38,58373,170683,2.92
Mahbubnagar,1997 - 1998,53200,100700,1.89,39800,78200,1.96
Mahbubnagar,1998 - 1999,72100,141200,1.96,74700,150500,2.01
Mahbubnagar,1999 - 2000,92732,154677,1.67,40342,71083,1.76
Mahbubnagar,2000 - 2001,116763,290973,2.49,49701,140455,2.83
Mahbubnagar,2001 - 2002,76057,184210,2.42,61122,143576,2.35
Mahbubnagar,2002 - 2003,76711,155340,2.03,33636,67339,2
Mahbubnagar,2003 - 2004,66350,161231,2.43,33146,69375,2.09
Mahbubnagar,2004 - 2005,58491,132716,2.27,25314,57083,2.25
Mahbubnagar,2005 - 2006,73651,181402,2.46,54500,139139,2.55
Mahbubnagar,2006 - 2007,74466,181697,2.44,35176,86287,2.45
Mahbubnagar,2007 - 2008,102000,297000,2.91,46000,128000,2.78
Mahbubnagar,2008 - 2009,96411,285569,2.96,48322,135640,2.81
Mahbubnagar,2009 - 2010,95390,216726,2.27,68468,184384,2.69
Mahbubnagar,2010 - 2011,130411,360230,2.76,66287,185537,2.8
