District,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph)
Medchal-Malkajgiri,2024-02-24,0.1333333333333333,21.49333333333333,35.02,26.84,95.42,0.0066666666666666,8.953333333333335
Medchal-Malkajgiri,2024-02-25,0.0,21.986666666666668,33.71333333333333,41.986666666666665,92.80666666666669,0.96,9.606666666666666
Medchal-Malkajgiri,2024-02-26,0.0,20.386666666666667,32.940000000000005,46.63333333333333,94.84,1.7266666666666666,10.286666666666669
Medchal-Malkajgiri,2024-02-27,0.0,19.466666666666665,31.9,50.53333333333333,95.08,1.6866666666666668,11.72
Medchal-Malkajgiri,2024-02-28,0.0,19.91333333333333,34.85333333333333,36.24,92.40666666666668,0.3266666666666667,9.613333333333332
Medchal-Malkajgiri,2024-02-29,0.0,19.35333333333333,35.22,18.87333333333333,82.13333333333334,0.0266666666666666,7.626666666666667
Mulugu,2024-02-01,0.0,18.177777777777777,32.47777777777778,36.900000000000006,96.45555555555556,0.0,9.033333333333337
Mulugu,2024-02-02,0.0,19.51111111111111,32.333333333333336,49.04444444444445,96.98888888888888,0.0,8.322222222222223
Mulugu,2024-02-03,0.0,19.355555555555554,32.355555555555554,52.18888888888889,97.85555555555555,0.0,7.622222222222222
Mulugu,2024-02-04,0.0,17.666666666666668,33.94444444444444,41.355555555555554,98.13333333333334,0.0,3.6
Mulugu,2024-02-05,0.0,19.88888888888889,34.044444444444444,39.333333333333336,97.92222222222222,0.0,7.688888888888889
Mulugu,2024-02-06,0.0,21.9,33.900000000000006,45.28888888888889,96.32222222222222,0.0,6.533333333333333
Mulugu,2024-02-07,0.0,20.83333333333333,34.98888888888889,45.71111111111111,98.13333333333334,0.0,6.622222222222223
Mulugu,2024-02-08,0.0,21.855555555555554,35.93333333333333,44.11111111111112,96.66666666666669,0.0,4.088888888888889
Mulugu,2024-02-09,0.0,18.37777777777778,33.45555555555556,48.44444444444444,90.32222222222222,0.0,7.444444444444445
Mulugu,2024-02-10,0.0,22.58888888888889,33.58888888888889,50.55555555555556,95.17777777777778,0.0111111111111111,6.155555555555556
Mulugu,2024-02-11,0.0,21.677777777777777,33.53333333333333,48.34444444444445,95.08888888888887,0.2222222222222222,8.955555555555556
Mulugu,2024-02-12,0.0,19.51111111111111,33.43333333333333,49.43333333333333,96.36666666666666,0.0666666666666666,6.988888888888889
Mulugu,2024-02-13,0.0,18.822222222222223,34.01111111111111,34.37777777777778,97.12222222222222,0.0444444444444444,9.866666666666667
Mulugu,2024-02-14,0.0,17.62222222222222,33.8,36.922222222222224,97.45555555555556,0.0,7.122222222222222
Mulugu,2024-02-15,0.0,16.922222222222224,34.27777777777778,34.644444444444446,94.34444444444443,0.0,8.055555555555555
Mulugu,2024-02-16,0.0,14.766666666666667,35.15555555555555,26.444444444444443,96.84444444444443,0.0,6.866666666666666
Mulugu,2024-02-17,0.0,15.933333333333334,36.11111111111112,23.522222222222226,93.66666666666669,0.0,3.7777777777777777
Mulugu,2024-02-18,0.0,18.244444444444444,36.98888888888889,25.422222222222224,91.34444444444443,0.0,5.022222222222222
Mulugu,2024-02-19,0.0,19.066666666666663,36.0,27.966666666666665,95.73333333333332,0.0,9.366666666666667
Mulugu,2024-02-20,0.0,17.72222222222222,35.47777777777778,28.37777777777778,94.92222222222222,0.0,7.144444444444444
Mulugu,2024-02-21,0.0,19.822222222222223,35.78888888888889,33.96666666666667,93.52222222222224,0.1777777777777777,8.333333333333334
Mulugu,2024-02-22,0.0,18.855555555555554,36.266666666666666,30.38888888888889,93.37777777777778,1.4666666666666666,9.344444444444443
Mulugu,2024-02-23,0.0,21.288888888888888,34.84444444444445,39.400000000000006,96.96666666666668,0.0,6.111111111111111
Mulugu,2024-02-24,0.0,22.05555555555556,35.44444444444444,36.1,95.85555555555555,0.0,3.4
Mulugu,2024-02-25,3.455555555555556,23.37777777777778,33.666666666666664,52.22222222222222,95.13333333333334,0.2666666666666666,7.0777777777777775
Mulugu,2024-02-26,0.0,21.22222222222222,32.72222222222222,51.75555555555556,96.5,0.0,7.811111111111111
Mulugu,2024-02-27,0.0,20.3,33.87777777777777,41.16666666666666,96.42222222222222,0.0111111111111111,6.9
Mulugu,2024-02-28,0.0,20.11111111111111,35.766666666666666,32.86666666666667,96.76666666666668,0.0,6.066666666666666
Mulugu,2024-02-29,0.0,20.433333333333334,36.56666666666667,29.88888888888889,92.93333333333334,0.0,3.433333333333333
Nagarkurnool,2024-02-01,0.0,17.62,33.36,25.71,96.495,0.0,7.795
Nagarkurnool,2024-02-02,0.0,18.195,32.925,32.980000000000004,96.975,0.04,9.565
Nagarkurnool,2024-02-03,0.0,19.99,33.565,31.815,98.755,0.0,8.265
Nagarkurnool,2024-02-04,0.0,18.99,33.105000000000004,42.3,97.78,0.0,8.525
Nagarkurnool,2024-02-05,0.0,18.315,33.614999999999995,38.73,96.52,0.005,7.529999999999999
Nagarkurnool,2024-02-06,0.0,18.865,34.505,33.405,94.09,0.015,6.755
Nagarkurnool,2024-02-07,0.0,19.195,36.02,30.155,92.345,0.0,6.409999999999999
Nagarkurnool,2024-02-08,0.0,19.99,36.92,27.295,88.155,0.01,6.465000000000001
Nagarkurnool,2024-02-09,0.0,20.055,36.22,29.48,83.71000000000001,0.015,8.120000000000001
Nagarkurnool,2024-02-10,0.0,19.48,35.06,31.01,94.4,0.76,8.555
Nagarkurnool,2024-02-11,0.0,19.78,34.415,40.115,95.255,0.55,9.07
Nagarkurnool,2024-02-12,0.0,17.384999999999998,34.61,33.05,97.71,0.79,7.979999999999999
Nagarkurnool,2024-02-13,0.0,16.27,34.1,26.32,98.31,0.02,7.76
Nagarkurnool,2024-02-14,0.0,17.585,34.605000000000004,26.360000000000003,97.605,0.27,8.11
Nagarkurnool,2024-02-15,0.0,17.32,34.58,26.175,90.195,0.15,9.92
Nagarkurnool,2024-02-16,0.0,13.945,34.45,21.105,83.505,0.26,9.61
Nagarkurnool,2024-02-17,0.0,14.51,33.93,20.445,80.30499999999999,0.0,11.72
Nagarkurnool,2024-02-18,0.0,15.82,35.095,11.775,76.32000000000001,0.675,8.245000000000001
Nagarkurnool,2024-02-19,0.0,16.925,35.989999999999995,11.465,76.21000000000001,0.465,9.23
Nagarkurnool,2024-02-20,0.0,18.105,35.43,17.395,86.295,0.22,7.555
Nagarkurnool,2024-02-21,0.0,19.74,35.53,24.895,74.22999999999999,0.0,8.615
Nagarkurnool,2024-02-22,0.0,18.96,35.62,26.56,73.545,0.0,9.245
Nagarkurnool,2024-02-23,0.0,20.31,36.105,18.435,95.095,0.0,6.94
Nagarkurnool,2024-02-24,0.0,21.585,34.81,31.575,97.31,0.055,6.83
Nagarkurnool,2024-02-25,0.0,22.07,35.54,34.215,89.35,0.05,10.495
Nagarkurnool,2024-02-26,0.0,20.24,33.855000000000004,38.42,92.005,0.48,11.29
Nagarkurnool,2024-02-27,0.0,19.675,33.42,38.775,94.81,0.49,12.77
Nagarkurnool,2024-02-28,0.0,19.09,35.35,26.355,92.0,0.08,9.03
Nagarkurnool,2024-02-29,0.0,18.65,34.79,25.24,83.34,0.01,9.745
Nalgonda,2024-02-01,0.0,19.578125,32.86875,37.990625,96.990625,0.053125,8.60625
Nalgonda,2024-02-02,0.0,20.534375,33.365625,43.8,97.33125,0.0375,8.65625
Nalgonda,2024-02-03,0.0,21.81875,34.015625,47.30625,96.809375,0.2375,7.415625
Nalgonda,2024-02-04,0.0,19.825,32.996875,48.51875,96.353125,0.0,8.01875
Nalgonda,2024-02-05,0.0,19.20625,33.328125,49.046875,96.9625,0.0,9.071875
Nalgonda,2024-02-06,0.0,20.121875,34.296875,43.584375,95.696875,0.0,7.11875
Nalgonda,2024-02-07,0.0,19.853125,35.1125,41.121875,94.353125,0.0,7.378125
Nalgonda,2024-02-08,0.0,20.325,35.68125,41.5875,90.228125,0.0,6.95625
Nalgonda,2024-02-09,0.0,19.83125,35.690625,36.3625,84.353125,0.0,7.309375
Nalgonda,2024-02-10,0.0,21.565625,33.625,45.096875,93.784375,0.390625,9.04375
Nalgonda,2024-02-11,0.0,21.74375,33.4375,50.9875,96.146875,0.590625,9.80625
Nalgonda,2024-02-12,0.0,19.3875,33.290625,47.975,96.971875,0.4375,10.578125
Nalgonda,2024-02-13,0.0,17.7625,32.990625,43.2125,97.196875,0.0,11.265625
Nalgonda,2024-02-14,0.0,18.375,33.690625,41.14375,97.440625,0.0,10.2875
Nalgonda,2024-02-15,0.0,18.1625,33.49375,44.471875,97.275,0.009375,10.221875
Nalgonda,2024-02-16,0.0,15.109375,33.428125,37.928125,94.2625,0.0,11.253125
Nalgonda,2024-02-17,0.0,15.278125,33.81875,31.603125,92.08125,0.0,9.2
Nalgonda,2024-02-18,0.0,15.74375,34.88125,23.48125,87.23125,0.0,8.328125
Nalgonda,2024-02-19,0.0,17.34375,35.60625,23.7,94.559375,0.253125,9.25
Nalgonda,2024-02-20,0.0,18.509375,35.44375,28.715625,93.01875,0.05,9.321875
Nalgonda,2024-02-21,0.0,19.3125,35.665625,32.203125,83.4375,0.0,8.4625
Nalgonda,2024-02-22,0.0,19.603125,36.64375,28.74375,91.5125,0.0,8.496875
Nalgonda,2024-02-23,0.0,22.790625,35.93125,34.015625,95.778125,0.059375,7.378125
