Date,District,Longitude,Latitude,Evapotranspiration
2022-03-20,Adilabad,78.56516888256076,19.520583182394112,1.559313
2022-03-21,Adilabad,78.56516888256076,19.520583182394112,2.0666249
2022-03-22,Adilabad,78.56516888256076,19.520583182394112,1.9385934
2022-03-23,Adilabad,78.56516888256076,19.520583182394112,1.235657
2022-03-24,Adilabad,78.56516888256076,19.520583182394112,1.9515094
2022-03-25,Adilabad,78.56516888256076,19.520583182394112,1.5856692
2022-03-26,Adilabad,78.56516888256076,19.520583182394112,1.6305211537921531
2022-03-27,Adilabad,78.56516888256076,19.520583182394112,1.6227314
2022-03-28,Adilabad,78.56516888256076,19.520583182394112,0.97579443
2022-03-29,Adilabad,78.56516888256076,19.520583182394112,0.74461305
2022-03-30,Adilabad,78.56516888256076,19.520583182394112,0.8198791
